agree,agree_ratio,agreeance_text,allsides_page,bias,disagree,name,total_votes
21052,1.680530055081025,Agrees,https://www.allsides.com/news-source/abc-news-media-bias,left-center,12527,ABC News (Online),33579
80,2.857142857142857,Strongly Agrees,https://www.allsides.com/news-source/above-law-media-bias,left-center,28,Above The Law,108
223,1.5815602836879432,Agrees,https://www.allsides.com/news-source/abridge-news-media-bias,allsides,141,Abridge News,364
263,2.481132075471698,Strongly Agrees,https://www.allsides.com/news-source/aj-media-bias,left,106,AJ+,369
4217,0.6313819434047013,Disagrees,https://www.allsides.com/news-source/al-jazeera-media-bias,left-center,6679,Al Jazeera,10896
3686,2.482154882154882,Strongly Agrees,https://www.allsides.com/news-source/allsides,allsides,1485,AllSides,5171
2368,1.6842105263157894,Agrees,https://www.allsides.com/news-source/allsides-community,allsides,1406,AllSides Community,3774
6834,4.7756813417190775,Absolutely Agrees,https://www.allsides.com/news-source/alternet-media-bias,left,1431,AlterNet,8265
247,2.5729166666666665,Strongly Agrees,https://www.allsides.com/news-source/american-greatness-media-bias,right,96,American Greatness,343
1610,1.7908787541713014,Agrees,https://www.allsides.com/news-source/american-thinker,right,899,American Thinker,2509
92,0.6764705882352942,Somewhat Disagrees,https://www.allsides.com/news-source/ap-fact-check-media-bias,left-center,136,AP Fact Check,228
895,1.5619546247818499,Agrees,https://www.allsides.com/news-source/aquinas-college-saint,left,573,Aquinas College Saint,1468
948,1.3148404993065188,Somewhat Agrees,https://www.allsides.com/news-source/arkansas-democrat-gazette,left,721,Arkansas Democrat-Gazette,1669
13940,1.3838975479003277,Somewhat Agrees,https://www.allsides.com/news-source/associated-press-media-bias,center,10073,Associated Press,24013
2,2.0,Agrees,https://www.allsides.com/news-source/atlanta-black-star-media-bias,left-center,1,Atlanta Black Star,3
921,1.1069711538461537,Somewhat Agrees,https://www.allsides.com/news-source/atlanta-journal-constitution,left-center,832,Atlanta Journal-Constitution,1753
788,1.2608,Somewhat Agrees,https://www.allsides.com/news-source/austin-american-statesman,left-center,625,Austin American-Statesman,1413
1875,0.8573388203017832,Somewhat Disagrees,https://www.allsides.com/news-source/axios,center,2187,Axios,4062
